word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,polarization
likes,9,8,11,1.111,0.422,0.09090908264462885
scared,16,15,11,1.062,-0.44,0.09090908264462885
smiles,158,144,162,1.097,0.477,0.0864197525529645
truth,6,8,24,0.778,0.318,0.08333332986111125
celebrate,5,6,12,0.857,0.572,0.08333332638888948
relieved,81,89,102,0.911,0.382,0.0784313717800846
worried,41,37,51,1.105,-0.296,0.0784313710111496
friendly,11,13,26,0.857,0.494,0.07692307396449716
punish,16,11,66,1.417,-0.527,0.07575757460973372
guilty,22,24,27,0.92,-0.422,0.07407407133058995
help,105,82,339,1.277,0.402,0.06784660746947903
argument,1,2,15,0.667,-0.361,0.06666666222222252
helpful,294,343,743,0.858,0.422,0.0659488559004726
better,18,15,46,1.188,0.44,0.06521738988657848
convince,9,5,62,1.667,0.25,0.06451612799167536
impression,2,0,32,3.0,0.226,0.06249999804687507
stubborn,1,2,16,0.667,-0.402,0.06249999609375024
happy,435,412,377,1.056,0.572,0.061007957397856874
surprised,25,27,45,0.929,0.226,0.04444444345679015
congratulate,1,0,23,2.0,0.494,0.04347825897920613
problem,19,22,71,0.87,-0.402,0.04225352053164056
accomplished,50,52,48,0.962,0.44,0.041666665798611134
safe,25,29,133,0.867,0.44,0.03007518774379558
hero,1,2,34,0.667,0.557,0.02941176384083048
inquisitive,17,16,40,1.059,0.178,0.024999999375000016
avoid,1,2,49,0.667,-0.296,0.020408162848813003
pay,58,47,720,1.229,-0.103,0.015277777756558641
apologize,27,31,337,0.875,0.103,0.011869436166559536
alone,14,15,114,0.938,-0.25,0.008771929747614652
thank,165,163,580,1.012,0.361,0.003448275856123662
accept,1,1,9,1.0,0.382,0.0
loses,15,15,15,1.0,-0.318,0.0
coward,1,1,3,1.0,-0.459,0.0
ashamed,2,2,3,1.0,-0.477,0.0
fails,4,4,3,1.0,-0.422,0.0
solution,0,0,7,1.0,0.318,0.0
error,2,2,2,1.0,-0.402,0.0
hand,2,2,7,1.0,0.494,0.0
blame,0,0,13,1.0,-0.34,0.0
feared,1,1,3,1.0,-0.494,0.0
win,8,8,88,1.0,0.586,0.0
competitive,2,2,3,1.0,0.178,0.0
frustration,3,3,5,1.0,-0.477,0.0
truthful,1,1,7,1.0,0.459,0.0
care,4,4,2,1.0,0.494,0.0
dominance,0,0,25,1.0,0.202,0.0
freeway,3,3,0,1.0,0.052,0.0
increase,2,2,1,1.0,0.318,0.0
joke,2,2,29,1.0,0.296,0.0
perfectionist,5,5,4,1.0,0.361,0.0
fan,2,2,12,1.0,0.318,0.0
thanked,34,34,63,1.0,0.44,0.0
greet,0,0,8,1.0,0.318,0.0
party,0,0,16,1.0,0.402,0.0
empathetic,2,2,1,1.0,0.402,0.0
