word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,polarization
accident,9,8,43,1.111,-0.477,0.023255813412655504
helps,40,42,91,0.953,0.382,0.021978021736505256
helpful,223,227,267,0.982,0.422,0.014981273352130063
mess,53,52,90,1.019,-0.361,0.011111110987654323
thief,3,3,9,1.0,-0.527,0.0
love,0,0,8,1.0,0.637,0.0
welcomed,8,8,0,1.0,0.34,0.0
argue,3,3,6,1.0,-0.34,0.0
save,3,3,1,1.0,0.494,0.0
sore,2,2,27,1.0,-0.361,0.0
sad,5,5,2,1.0,-0.477,0.0
hates,1,1,30,1.0,-0.44,0.0
demanding,5,5,6,1.0,-0.226,0.0
admires,0,0,9,1.0,0.361,0.0
emergency,0,0,11,1.0,-0.382,0.0
comfortable,12,12,4,1.0,0.511,0.0
supportive,3,3,1,1.0,0.296,0.0
blind,0,0,6,1.0,-0.402,0.0
competitive,4,4,4,1.0,0.178,0.0
irresponsible,2,2,2,1.0,-0.44,0.0
problems,2,2,2,1.0,-0.402,0.0
deceitful,2,2,2,1.0,-0.44,0.0
hide,5,5,2,1.0,-0.178,0.0
indecisive,3,3,3,1.0,-0.25,0.0
appreciative,8,8,11,1.0,0.557,0.0
protects,0,0,18,1.0,0.318,0.0
smile,3,3,0,1.0,0.361,0.0
trusting,2,2,3,1.0,0.402,0.0
sneaky,3,3,3,1.0,-0.226,0.0
depression,0,0,6,1.0,-0.572,0.0
creates,0,0,23,1.0,0.273,0.0
avoids,0,0,12,1.0,-0.178,0.0
unintelligent,3,3,3,1.0,-0.459,0.0
respectful,3,3,4,1.0,0.459,0.0
disappointed,2,2,1,1.0,-0.477,0.0
