word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,polarization
mess,53,52,50,1.019,-0.361,0.01999999960000001
helpful,223,227,221,0.982,0.422,0.018099547429413814
safe,188,191,203,0.984,0.44,0.01477832505035308
pay,430,436,447,0.986,-0.103,0.013422818761917631
thief,3,3,2,1.0,-0.527,0.0
competitive,4,4,3,1.0,0.178,0.0
save,3,3,0,1.0,0.494,0.0
disappointed,2,2,2,1.0,-0.477,0.0
problems,2,2,1,1.0,-0.402,0.0
hide,5,5,4,1.0,-0.178,0.0
comfortable,12,12,13,1.0,0.511,0.0
trusting,2,2,2,1.0,0.402,0.0
greetings,2,2,2,1.0,0.422,0.0
sore,2,2,1,1.0,-0.361,0.0
respectful,3,3,4,1.0,0.459,0.0
welcomed,8,8,0,1.0,0.34,0.0
unintelligent,3,3,3,1.0,-0.459,0.0
sneaky,3,3,3,1.0,-0.226,0.0
irresponsible,2,2,2,1.0,-0.44,0.0
smile,3,3,0,1.0,0.361,0.0
appreciative,8,8,4,1.0,0.557,0.0
indecisive,3,3,3,1.0,-0.25,0.0
argue,3,3,5,1.0,-0.34,0.0
sad,5,5,3,1.0,-0.477,0.0
allergic,2,2,2,1.0,-0.296,0.0
demanding,5,5,6,1.0,-0.226,0.0
supportive,3,3,2,1.0,0.296,0.0
deceitful,2,2,2,1.0,-0.44,0.0
