word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,gender_association_score
safe,25,29,49,0.867,0.44,-0.03883495107927232
thanks,34,30,43,1.129,0.44,0.03738317722071797
smart,19,21,15,0.909,0.402,-0.03636363570247935
worried,41,37,46,1.105,-0.296,0.032258064255983356
smiles,158,144,143,1.097,0.477,0.031460674086605224
relieved,81,89,98,0.911,0.382,-0.029850746157273334
guilty,22,24,21,0.92,-0.422,-0.0298507458231232
safety,13,12,13,1.077,0.422,0.026315788781163457
confused,68,63,61,1.078,-0.318,0.026041666531032986
surprised,25,27,32,0.929,0.226,-0.0238095235260771
alone,14,15,16,0.938,-0.25,-0.022222221728395074
scared,16,15,18,1.062,-0.44,0.020408162848813003
fired,515,485,551,1.062,-0.557,0.019342359755420785
happy,435,412,380,1.056,0.572,0.0187449062601916
determined,39,37,57,1.053,0.34,0.01503759387189779
accomplished,50,52,45,0.962,0.44,-0.01360544208431672
inquisitive,17,16,46,1.059,0.178,0.012658227687870536
thank,165,163,135,1.012,0.361,0.0043196544183160815
desperate,105,104,63,1.01,-0.318,0.0036764705747188583
perfectionist,5,5,5,1.0,0.361,0.0
empathetic,2,2,1,1.0,0.402,0.0
racist,1,1,3,1.0,-0.612,0.0
thanked,34,34,34,1.0,0.44,0.0
hope,0,0,16,1.0,0.44,0.0
creates,0,0,5,1.0,0.273,0.0
fails,4,4,6,1.0,-0.422,0.0
accept,1,1,5,1.0,0.382,0.0
error,2,2,2,1.0,-0.402,0.0
increase,2,2,2,1.0,0.318,0.0
care,4,4,3,1.0,0.494,0.0
joke,2,2,2,1.0,0.296,0.0
loses,15,15,14,1.0,-0.318,0.0
hand,2,2,2,1.0,0.494,0.0
pain,2,2,2,1.0,-0.511,0.0
competitive,2,2,1,1.0,0.178,0.0
fan,2,2,3,1.0,0.318,0.0
safely,2,2,2,1.0,0.494,0.0
freeway,3,3,3,1.0,0.052,0.0
appreciative,0,0,22,1.0,0.557,0.0
frustration,3,3,3,1.0,-0.477,0.0
happiness,1,1,3,1.0,0.557,0.0
ashamed,2,2,1,1.0,-0.477,0.0
stupid,2,2,2,1.0,-0.527,0.0
win,8,8,11,1.0,0.586,0.0
