word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,gender_association_score
worried,41,37,51,1.105,-0.296,0.031007751697614327
smiles,158,144,162,1.097,0.477,0.030172413728076695
relieved,81,89,102,0.911,0.382,-0.029411764597750866
confused,68,63,44,1.078,-0.318,0.028571428408163266
guilty,22,24,27,0.92,-0.422,-0.027397259898667675
hero,1,2,34,0.667,0.557,-0.027027026296566857
problem,19,22,71,0.87,-0.402,-0.026785714046556126
determined,39,37,4,1.053,0.34,0.024999999687500003
fired,515,485,235,1.062,-0.557,0.02429149795603927
scared,16,15,11,1.062,-0.44,0.0238095232426304
safe,25,29,133,0.867,0.44,-0.021390374217163773
surprised,25,27,45,0.929,0.226,-0.02061855648846849
avoid,1,2,49,0.667,-0.296,-0.019230768860946754
happy,435,412,377,1.056,0.572,0.018790849657850613
inquisitive,17,16,40,1.059,0.178,0.013698629949333838
pay,58,47,720,1.229,-0.103,0.013333333317171717
accomplished,50,52,48,0.962,0.44,-0.013333333244444445
apologize,27,31,337,0.875,0.103,-0.010126582252844095
alone,14,15,114,0.938,-0.25,-0.006993006944104847
desperate,105,104,4,1.01,-0.318,0.0046948356587096915
thank,165,163,580,1.012,0.361,0.002202643169380349
accept,1,1,9,1.0,0.382,0.0
win,8,8,88,1.0,0.586,0.0
hand,2,2,7,1.0,0.494,0.0
competitive,2,2,3,1.0,0.178,0.0
error,2,2,2,1.0,-0.402,0.0
joke,2,2,29,1.0,0.296,0.0
increase,2,2,1,1.0,0.318,0.0
loses,15,15,15,1.0,-0.318,0.0
blame,0,0,13,1.0,-0.34,0.0
coward,1,1,3,1.0,-0.459,0.0
care,4,4,2,1.0,0.494,0.0
freeway,3,3,0,1.0,0.052,0.0
solution,0,0,7,1.0,0.318,0.0
perfectionist,5,5,4,1.0,0.361,0.0
dominance,0,0,25,1.0,0.202,0.0
greet,0,0,8,1.0,0.318,0.0
frustration,3,3,5,1.0,-0.477,0.0
feared,1,1,3,1.0,-0.494,0.0
truthful,1,1,7,1.0,0.459,0.0
thanked,34,34,63,1.0,0.44,0.0
party,0,0,16,1.0,0.402,0.0
fan,2,2,12,1.0,0.318,0.0
empathetic,2,2,1,1.0,0.402,0.0
ashamed,2,2,3,1.0,-0.477,0.0
fails,4,4,3,1.0,-0.422,0.0
